WBAN,NAME,STATE/COUNTRY ID,LAT,LON,ELEV,Latitude,Longitude
33013,AIN EL,AL,3623N,00637E,611,36.38333333,6.65
33031,LA SENIA,AL,3537N,00037E,88,35.61666667,0.583333333
33023,MAISON BLANCHE,AL,3643N,00314E,23,36.71666667,3.216666667
33044,TELERGMA,AL,3607N,00621E,754,36.11666667,6.416666667
12001,TINDOUF,AL,2741N,00809W,443,27.68333333,-8.083333333
11604,ST JOHNS/COOLIDGE FIELD,AT,1707N,06147W,10,17.11666667,-61.73333333
82502,AMBERLY,AU,2736S,15243E,27,-27.6,152.8166667
82501,ARCHER,AU,2735S,15301E,19,-27.58333333,153
82506,BRISBANE,AU,2726S,15305E,2,-27.43333333,153.1333333
82402,CHARLEVILLE,AU,2625S,14616E,300,-26.41666667,146.2166667
82403,CLONCURRY,AU,2041S,14030E,188,-20.68333333,140.5833333
81404,HORN ISLAND,AU,1036S,14218E,12,-10.6,142.1666667
82404,LONGREACH,AU,2327S,14408E,187,-23.45,144.0666667
82405,MACKAY,AU,2110S,14910E,8,-21.16666667,149.3
82503,ROCKHAMPTON,AU,2324S,15030E,13,-23.4,150.5333333
13201,LAJES,AZ,3846N,02706W,55,38.76666667,-27.03333333
12706,GREAT EXUMA ISLAND,BA,2331N,07547W,19,23.51666667,-75.73333333
13601,BERMUDA,BE,3222N,06441W,6,32.36666667,-64.66666667
32503,BAHREIN ISLAND,BN,2616N,05038E,1,26.26666667,50.56666667
11501,CHRISTS CHURCH,BR,1304N,05930W,55,13.06666667,-59.58333333
10505,CLEVELANDIA,BZ,0352N,05149W,29,3.866666667,-51.75
50301,FERNANDO DE NORONHA,BZ,0350S,03225W,38,-3.833333333,-32.48333333
50302,FORTALEZA,BZ,0346S,03833W,23,-3.766666667,-38.61666667
50304,PARNAMIRIM,BZ,0554S,03515W,50,-5.9,-35.3
50303,RECIFE,BZ,0807S,03455W,9,-8.116666667,-34.88333333
50403,SAO LUIZ,BZ,0235S,04414W,47,-2.583333333,-44.23333333
50401,VAL DE CANS,BZ,0123S,04829W,13,-1.383333333,-48.36666667
10807,PARRITA,CS,0931N,08420W,6,9.516666667,-84.45
10806,SAN JOSE,CS,0954N,08408W,1132,9.9,-84
60701,CANTON ISLAND,CT,0246S,17143W,3,-2.766666667,-171.75
12701,CAMAGUEY,CU,2124N,07755W,123,21.4,-77.86666667
12801,SAN ANTONIO,CU,2253N,08230W,48,22.88333333,-82.63333333
11615,CIUDAD TRUJILLO,DR,1829N,06954W,9999,18.48333333,-69.88333333
31401,SHEIKH OTHMAN,DY,1252N,04458E,10,12.86666667,44.86666667
32301,LUXOR,EG,2542N,03242E,86,25.7,32.66666667
33205,MERSA MATRUH,EG,3127N,02712E,26,31.45,27.25
33303,PAYNE,EG,3008N,03124E,71,30.13333333,31.35
50801,SALINAS,EQ,0212S,08100W,8,-2.2,-81.08333333
32504,SHARJAH,ER,2521N,05524E,2,25.35,55.45
31302,ERITREA,ET,1517N,03855E,2326,15.28333333,38.9
81702,NANDI/AAF,FJ,1745S,17725E,10,-17.75,177.3666667
34017,BASTIA/CORSICA,FR,4233N,00929E,16,42.55,9.433333333
34002,BASTIA/CORSICA,FR,4242N,00927E,105,42.7,9.366666667
34003,C DELORO/CORSICA,FR,4155N,00848E,3,41.91666667,8.75
34012,MARSEILLE,FR,4326N,00513E,12,43.43333333,5.266666667
34013,MIGLIACCIARO/CORSICA,FR,4200N,00924E,18,42,9.45
34022,PARIS/ORLY,FR,4844N,00222E,100,48.73333333,2.366666667
34005,PORTETTA/CORSICA,FR,4234N,00927E,49,42.56666667,9.333333333
10001,ACCRA,GH,0536N,00010W,62,5.6,-0.3
16405,NARSARSSUAK,GL,6111N,04525W,11,61.18333333,-45.36666667
16407,SIMIUTAK,GL,6041N,04632W,62,60.68333333,-46.63333333
16504,SONDRESTROM,GL,6701N,05048W,50,67.01666667,-50.7
33206,ATHENS,GR,3758N,02343E,110,37.96666667,23.78333333
11901,GUATEMALA CITY,GU,1435N,09032W,1486,14.58333333,-90.55
11902,SAN JOSE,GU,1355N,09050W,5,13.91666667,-90.83333333
10502,GEORGETOWN,GY,0630N,05815W,29,6.5,-58.21666667
11701,PORT AU PRINCE,HA,1833N,07221W,16,18.55,-72.35
22509,BURNS FIELD/AAF,HI,2154N,15935W,9,21.9,-159.5666667
22504,HICKAM/AFB,HI,2120N,15757W,3,21.33333333,-157.9
21501,LYMAN FIELD/AAF,HI,1943N,15504W,11,19.71666667,-155.0666667
22507,MOKULEIA FIELD/AAF,HI,2135N,15812W,5,21.58333333,-158.2166667
22502,MOLOKAI/AP 524,HI,2109N,15706W,42,21.15,-157.0333333
22508,WHEELER/AFB 810.1,HI,2129N,15802W,271,21.48333333,-158.05
16101,CAMP DELTA,IL,6540N,01805W,3,65.66666667,-18.03333333
16201,KEFLAVIK,IL,6358N,02236W,50,63.96666667,-22.61666667
16202,REYKJAVIK,IL,6408N,02157W,8,64.13333333,-21.91666667
32701,AGRA,IN,2710N,07802E,167,27.16666667,78.1
32801,BAMRAULI,IN,2526N,08150E,98,25.43333333,81.83333333
31701,BANGALORE,IN,1257N,07738E,897,12.95,77.58333333
32815,BARRACKPORE,IN,2246N,08822E,7,22.76666667,88.36666667
32907,BINDUKURI,IN,2643N,09248E,75,26.71666667,92.71666667
32803,CHAKULIA,IN,2227N,08642E,131,22.45,86.71666667
32805,GAYA,IN,2445N,08457E,115,24.75,84.96666667
32702,JODHPUR,IN,2616N,07303E,228,26.26666667,73.13333333
32904,JORHAT,IN,2643N,09410E,93,26.71666667,94.16666667
32812,KALAIKUNDA,IN,2220N,08713E,61,22.33333333,87.23333333
32906,MOHANBERI,IN,2729N,09501E,111,27.48333333,95.11666667
33405,HABBANIYA,IQ,3322N,04334E,45,33.36666667,43.65
33305,RUTBA,IQ,3256N,03944E,783,32.93333333,39.76666667
33401,ABADAN,IR,3022N,04814E,3,30.36666667,48.25
33501,AMIRABAD POST,IR,3543N,05123E,1340,35.71666667,51.48333333
33406,CAMP PARKS,IR,3451N,04832E,1727,34.85,48.6
34123,AMENDOLA,IY,4133N,01543E,49,41.55,15.73333333
34101,AMENDOLA/MU 9,IY,4143N,01522E,38,41.71666667,15.46666667
34109,BARI,IY,4108N,01647E,28,41.13333333,16.81666667
33019,CAGLIARI/SARDINIA,IY,3915N,00905E,9,39.25,9.116666667
34150,CIAMPINO,IY,4148N,01236E,129,41.8,12.51666667
33014,DECIMOMANNO,IY,3918N,00910E,7,39.3,9.25
34139,FLORENCE/MU 1+4+10,IY,4346N,01115E,67,43.76666667,11.2
34104,FOGGIA,IY,4126N,01532E,74,41.43333333,15.61666667
34105,FOGGIA/MU 18,IY,4127N,01533E,83,41.45,15.65
33111,FONTANA,IY,3727N,01503E,3,37.45,15.01666667
34111,LECCE/MU 2,IY,4014N,01808E,17,40.23333333,18.08333333
34113,NAPLES,IY,4054N,01418E,93,40.9,14.18333333
33117,PALERMO/MU 10,IY,3807N,01320E,114,38.11666667,13.36666667
34147,PISA,IY,4341N,01024E,3,43.68333333,10.45
11704,KINGSTON,JM,1754N,07717W,5,17.9,-77.18333333
44401,CHITOSE HOKKAIDO,JP,4248N,14139E,27,42.8,141.55
42204,KADENA/AB,JP,2621N,12746E,43,26.35,127.8166667
43305,KANOYA,JP,3122N,13055E,77,31.36666667,130.9166667
42206,OKINAWA/RYUKYU ISLANDS,JP,2612N,12739E,4,26.2,127.5666667
43302,OSAKA,JP,3448N,13526E,16,34.8,135.3666667
43307,TACHIKAWA,JP,3542N,13924E,101,35.7,139.4166667
43201,SEOUL/ROK K-14,KO,3733N,12648E,20,37.55,126.7
61501,AMURI/FIELD AAF,KU,1850S,15949W,5,-18.83333333,-159.7833333
11601,ST LUCIA/ISLAND,LC,1344N,06057W,8,13.73333333,-60.85
10002,CAPE PALMAS,LI,0422N,00741W,9999,4.366666667,-7.733333333
10101,FISHERMANS LAKE,LI,0645N,01115W,9999,6.75,-11.26666667
10102,MARSHALL/ROBERTS FIELD,LI,0614N,01022W,9999,6.233333333,-10.43333333
33123,WHEELUS,LY,3254N,01317E,13,32.9,13.21666667
13002,CASABLANCA/CAZES FIELD,MC,3335N,00739W,49,33.58333333,-7.5
13005,MARRAKECH,MC,3139N,00801W,461,31.65,-8.15
13007,OUJDA,MC,3445N,00155W,460,34.75,-1.9
13013,TOUAHAR,MC,3412N,00411W,564,34.2,-4.25
12101,ATAR,MT,2028N,01302W,235,20.46666667,-13.03333333
80509,BOUGAINVILLE/AAF,NG,0614S,15507E,40,-6.233333333,155.1333333
80412,FINSCHHAFEN/AAF,NG,0637S,14751E,15,-6.616666667,147.85
80425,JACKSON,NG,0927S,14713E,37,-9.45,147.2166667
80411,LAE/AAF,NG,0645S,14659E,5,-6.75,146.9333333
81601,ESPIRITU SANTO/AAF,NH,1530S,16715E,9,-15.5,167.2666667
30001,APAPA,NI,0627N,00324E,3,6.45,3.433333333
31001,KANO,NI,1203N,00832E,475,12.05,8.5
31101,MAIDUGURI,NI,1151N,01305E,354,11.85,13.13333333
11801,MERCEDES,NK,1208N,08612W,63,12.13333333,-86.23333333
11606,WILLEMSTAD,NU,1211N,06857W,9,12.18333333,-68.96666667
20501,CHRISTMAS ISLAND/AAF,NZ,0159N,15721W,2,1.983333333,-157.4166667
32501,MASIRAH ISLAND,OM,2039N,05854E,16,20.65,58.83333333
31501,SALALAH,OM,1703N,05406E,17,17.05,54.06666667
61502,BORA BORA/AAF,PF,1627S,15146W,3,-16.45,-151.7333333
41207,CLARK,PH,1511N,12033E,146,15.18333333,120.5
41204,MANILA/AAF,PH,1430N,12100E,5,14.5,121.0666667
42401,IWO JIMA/AB,PI,2447N,14119E,114,24.78333333,141.2666667
40601,KWAJALEIN/AFB,PI,0843N,16744E,3,8.716666667,167.7833333
20602,PALMYRA ISLAND/LINE ISLANDS,PI,0553N,16205W,2,5.883333333,-162.05
32603,BHOLARI,PK,2519N,06812E,53,25.31666667,68.18333333
32602,JIWANI,PK,2504N,06148E,56,25.06666667,61.8
32601,KARACHI,PK,2454N,06711E,21,24.9,67.25
10701,BALBOA/ALBROOK,PM,0858N,07933W,9,8.966666667,-79.5
10804,DAVID,PM,0823N,08226W,23,8.383333333,-82.33333333
10718,FORT KOBBE,PM,0855N,07936W,16,8.916666667,-79.63333333
10705,HOWARD,PM,0855N,07936W,10,8.916666667,-79.65
10704,JAQUE,PM,0730N,07810W,5,7.5,-78.01666667
10802,POCRI,PM,0744N,08008W,14,7.733333333,-80
10703,REY ISLAND,PM,0814N,07854W,24,8.233333333,-78.08333333
10803,RIO HATO,PM,0822N,08008W,22,8.366666667,-80
15605,KUUJJAUQ/AIRPORT,PQ,5806N,06825W,816,58.1,-68.03333333
15604,MINGAN,PQ,5017N,06410W,23,50.28333333,-64.01666667
50802,TALARA,PR,0432S,08114W,88,-4.533333333,-81.01666667
11101,DAKAR/EKNES FIELD,SG,1443N,01714W,22,14.71666667,-17.01666667
11103,DAKAR/MALLARD FIELD,SG,1445N,01730W,21,14.75,-17.05
80510,BANIKA/AAF,SO,0904S,15914E,18,-9.066666667,159.0166667
80504,MUNDA/AAF,SO,0820S,15716E,8,-8.333333333,157.0166667
34018,ISTRES,SP,4330N,00457E,24,43.5,4.083333333
11610,WALLER/BWI,TD,1037N,06113W,41,10.61666667,-61.01666667
12702,SOUTH CAICOS ISLAND,TI,2129N,07131W,4,21.48333333,-71.05
62701,TONGATABU ISLAND,TO,2115S,17508W,30,-21.25,-175
33109,EL AQUINA,TS,3651N,01015E,4,36.85,10.01666667
33121,EL DJEM,TS,3520N,01040E,9999,35.33333333,10.06666667
33003,SISI AHMED,TS,3712N,00950E,4,37.2,9.083333333
33307,ADANA,TU,3659N,03518E,20,36.98333333,35.01666667
15027,WARRINGTON,UK,5323N,00239W,27,53.38333333,-2.05
